Question Number,Year,Question,Option 1,Option 2,Option 3,Option 4,Correct Option,Detailed Explanation,Difficulty,Sub Subject,Topic
1,2026,"Consider the following statements with reference to the Constitution of India :

1. There is no Article in the Constitution of India that specifies that the Constitution of India will be officially called the 'Constitution of India'.
2. There is no Article in the Constitution of India that specifies that the Indian Independence Act, 1947 and the Government of India Act, 1935 stand repealed.
3. There is no Article in the Constitution of India that mentions 26th January, 1950 as the date of the commencement of the Constitution of India.

Which one of the following conclusions based on the above statements is correct ?","
(a) All three statements are correct.
","(b) There is no correct statement.
",(c) There are two correct statements that include statement 3.,(d) There is only one correct statement.,(b) There is no correct statement.,"Statement 1 is incorrect: The short title of the Constitution is provided under Article 393, which states that “This Constitution may be called the Constitution of India.”

Statement 2 is incorrect: Article 395 deals with the repeal of colonial-era laws and explicitly repeals the Indian Independence Act, 1947 and the Government of India Act, 1935, along with related amendments, subject to certain exceptions such as the Abolition of Privy Council Jurisdiction Act, 1949.

Statement 3 is incorrect: Article 394 specifies the commencement of the Constitution. It provides that certain provisions came into force immediately upon adoption, while the remaining provisions came into effect on 26th January 1950, which is designated as the commencement date of the Constitution.

Hence, all three statements are incorrect, and therefore no statement is correct.",Hard,Polity,Salient Features of the Constitution
2,2026,"Mr. X, a senior officer, was overseeing a critical vaccination programme during a pandemic. He found that a private service provider responsible for vaccine distribution was compromising on quality to make profits. Despite immense pressure to manage the issue due to vested interests, he raised his voice based on the principles of public administration which he learnt during various training programmes attended across his career. He reported the issue to the appropriate vigilance authority and halted the contract to ensure citizen welfare.

Which one among the following principles of public administration was most strongly demonstrated by Mr. X's actions?","(a) Esprit de corps
","(b) Equity
","(c) Accountability
",(d) Delegation,(c) Accountability,"Accountability refers to the obligation of public officials to take responsibility for their actions, maintain transparency, and remain answerable to oversight mechanisms such as vigilance bodies. It also includes safeguarding public interest, reporting irregularities, and ensuring that private contractors handling public resources comply with prescribed ethical and quality standards. In this case, Mr. X’s decision to report the compromised vaccine distribution to the vigilance authority and terminate the contract despite external pressure reflects a strong commitment to accountability in public service.

Esprit de corps refers to the principle of fostering team spirit, unity, mutual trust, and cooperation within an organization. However, the situation described does not primarily involve building internal organisational cohesion, so this principle is not directly reflected in Mr. X’s action.

Equity is concerned with fairness, justice, and impartial treatment in the distribution of public services and resources. While Mr. X’s decision may align with fairness, the core ethical dimension highlighted here is responsibility and answerability rather than distributive justice.

Delegation refers to the formal transfer of authority and responsibility from a superior to a subordinate or an external agency for performing specific tasks. In this scenario, the focus is not on assigning tasks but on ensuring accountability for actions already delegated.

Therefore, option C is the correct answer.",Easy,Polity,Union and State Executive
3,2026,"In a multi-ethnic district where both economic competition and historical grievances frequently led to community tensions, a flashpoint has arisen with a Government decision to allocate land for a waste management facility near a tribal hamlet, sparking protests by the tribal community, which claimed that the land was sacred and critical to their cultural identity. At the same time, urban residents and local industries supported the project, citing severe solid waste challenges and health concerns due to lack of a proper disposal site. The conflict has escalated with road blockades, social media campaigns, and allegations of police excesses.

As a responsible Government official, you are tasked with resolving the situation through mediation, ensuring a sustainable outcome that balances environmental needs, tribal rights, and urban public health.

Consider the following statements with reference to the above:

1. A successful conflict resolution process must begin with acknowledging the cultural concerns of the protesting tribal community before discussing technical alternatives.
2. The Government should move ahead with the project without delay to address urban health concerns, which outweigh the sentiments of a small group.
3. Creating a multi-stakeholder dialogue platform - including tribal leaders, environmental experts, and municipal representatives - to build mutual understanding and help de-escalate tensions.
4. Conducting an independent Environmental and Social Impact Assessment (ESIA) and sharing findings transparently with both sides to facilitate evidence-based decision-making.

Which of the statements given above would contribute to the resolution process?","(a) 1, 3 and 4 only","(b) 2, 3 and 4 only",(c) 1 and 2 only,"(d) 1, 2 ,3 and 4","(a) 1, 3 and 4 only","Statement 1 is correct: In mediation and conflict-resolution processes, acknowledging the emotional, historical, and cultural concerns of affected communities is an essential first step. Recognising and validating tribal cultural sensitivities helps build trust and creates a constructive environment for meaningful dialogue and negotiation.

Statement 2 is incorrect: Although prioritising urban health needs may reflect a utilitarian approach of maximizing overall welfare, democratic governance in India operates within a rights-based constitutional framework. Tribal rights are protected under provisions such as the Fifth and Sixth Schedules, the Panchayats (Extension to Scheduled Areas) Act (PESA), 1996, and the Forest Rights Act (FRA), 2006. These legal safeguards require respect for tribal land, consent, and cultural identity, ensuring that majority welfare cannot override minority rights.

Statement 3 is correct: Effective resolution of complex public disputes requires inclusive and participatory decision-making. Establishing a multi-stakeholder dialogue platform involving tribal representatives, urban stakeholders, and neutral experts promotes consensus-building, improves mutual understanding, and helps reduce tensions between conflicting groups.

Statement 4 is correct: An independent Environmental and Social Impact Assessment (ESIA) is a widely used governance tool to evaluate the ecological, social, and human implications of development projects. Transparent disclosure of such assessments supports evidence-based policymaking, reduces misinformation, and enables informed decision-making among all stakeholders.

Hence, Statements 1, 3, and 4 are correct, and option A is the appropriate answer.",Easy,Polity,Miscellaneous & Current Affairs
4,2026,"X' was addressing a seminar on the meaning of the term 'law' as provided under Article 13, Part III of the Constitution of India. 'X' explained that the meaning of the term 'law' in the Constitution of India was very comprehensive. It included ordinances, orders and even rules and regulations. 'Y' pointed out that the term 'law' in Article 13 also included custom or usage having in the territory of India the force of law, to which 'X' was not convinced.

Based on the above, select the correct conclusion from the options given below :","(a) 'X' is correct in the interpretation of law, including the view on non-inclusion of custom.",(b) The view of 'Y' that 'law' included custom is not correct.,(c) The views of both 'X' and 'Y' are correct.,(d) The view of only 'Y' is correct.,(d) The view of only 'Y' is correct.,"Article 13 of the Indian Constitution safeguards Fundamental Rights by declaring that any law inconsistent with Part III shall be void to the extent of such inconsistency.

To ensure that Fundamental Rights cannot be circumvented through non-legislative means, Article 13(3)(a) provides an inclusive and wide definition of “law”. It explicitly includes not only enacted legislation but also Ordinances, orders, bye-laws, rules, regulations, notifications, customs, and usages having the force of law within the territory of India.

Therefore, the view of ‘Y’ is correct in stating that customs and usages are included within the definition of law under Article 13. Such practices, when having legal force, are subject to constitutional scrutiny just like statutory laws.

On the other hand, the view of ‘X’ is incorrect in denying or questioning this inclusion, since the constitutional text clearly brings customs and usages within the ambit of “law”.

Hence, only the view of ‘Y’ is correct, making option D the correct answer.",Hard,Polity,Fundamental Rights
5,2026,"Which of the following statements about a Zero First Information Report (Zero FIR) under the Bharatiya Nagarik Suraksha Sanhita (BNSS), 2023 is/are correct?

1. A Zero FIR can be lodged at a police station, even though the place of commission of a cognizable/non-cognizable offence is outside the territorial jurisdiction of that police station.
2. The Officer-in-Charge of the police station where a Zero FIR has been lodged may, with the permission of the competent authority, initiate a preliminary enquiry.
3. Under Zero FIR, it is obligatory for the informant to furnish information electronically.

Select the answer using the code given below:","(a) 1, 2 and 3",(b) 2 and 3 only,(c) 1 only,(d) 2 only,(c) 1 only,"Statement 1 is correct: A Zero FIR can be registered at any police station, irrespective of territorial jurisdiction, in cases involving cognizable offences. Under Section 173(1) of the Bharatiya Nagarik Suraksha Sanhita (BNSS), 2023, such an FIR can be recorded even when the offence did not occur within the jurisdiction of that police station.

Statement 2 is incorrect: The provision for preliminary enquiry under Section 173(3) of the BNSS is not specifically linked to the concept of Zero FIR. A preliminary enquiry may be conducted in certain cognizable offences (generally punishable with imprisonment of 3 to 7 years) and is subject to procedural safeguards, but it is not a mandatory or defining feature of Zero FIR.

Statement 3 is incorrect: It is not compulsory for the informant to submit information electronically for registering a Zero FIR. Under Section 173(1), information regarding a cognizable offence may be given either orally or through electronic communication, making electronic submission optional, not mandatory.

Therefore, only Statement 1 is correct, and option C is the correct answer.",Hard,Polity,Miscellaneous & Current Affairs
6,2026,"Consider the following statements about the Committee on the Welfare of Scheduled Castes and Scheduled Tribes of the Parliament of India:

1. Although members of this Committee are elected from both Houses of Parliament, the Chairperson of this Committee is appointed by the Chairman of the Rajya Sabha.
2. Twenty members are elected by the Rajya Sabha and ten members by the Lok Sabha.
3. No Minister, except for the Union Minister of Social Justice and Empowerment, is eligible to be a member of this Committee.
4. Members are elected for a fixed term of two years from the date they enter their office.

Which one of the following conclusions based on the above statements is correct ?","(a) There are four correct statements.

","(b) There is only one correct statement, that is statement 2.


","(c) There are two correct statements, that include statement 1.


","(d) There is no correct statement.

",(d) There is no correct statement.,"Statement 1 is incorrect: The Chairperson of the Committee on the Welfare of Scheduled Castes and Scheduled Tribes is appointed by the Speaker of the Lok Sabha from among its members, not by the Chairman of the Rajya Sabha.

Statement 2 is incorrect: The Committee consists of 30 members in total, of which 20 are drawn from the Lok Sabha and 10 from the Rajya Sabha, rather than the reverse distribution.

Statement 3 is incorrect: Ministers are not eligible to be members of this Committee. If a member is appointed as a Minister after being elected to the Committee, they cease to hold membership. This restriction applies uniformly without exceptions.

Statement 4 is incorrect: The tenure of members of the Committee is one year, after which it is reconstituted. It is not a two-year term.

Thus, all four statements are incorrect, and therefore none of the statements is correct.",Hard,Polity,Parliament and State Legislatures
7,2026,"Consider the following statements in respect of questions asked by the Members in the Parliament of India :

1. Unstarred questions are those to which a Member desires an oral answer in the House.
2. Starred questions are those to which a Member desires a written answer.
3. No supplementary question can be asked on an unstarred question.

Which one of the following conclusions based on the above statements is correct ?",(a) All the three statements are correct.,"(b) There are two correct statements, that include statement 2.",(c) There is only one correct statement.,(d) There is no correct statement.,(c) There is only one correct statement.,"Statement 1 is incorrect: Unstarred questions are those for which a Member of Parliament seeks a written reply from the concerned Minister. The answer is not read out orally in the House but is instead treated as laid on the Table.

Statement 2 is incorrect: Starred questions are marked with an asterisk and are meant to elicit an oral answer from the Minister in the House. These are taken up during Question Hour, allowing direct verbal responses.

Statement 3 is correct: Since unstarred questions receive only written replies and are not answered orally on the floor of the House, they do not allow supplementary questions. Supplementary questions are permitted only in the case of starred questions (and short notice questions) where oral answers are given.

Hence, only one statement is correct.
",Medium,Polity,Parliament and State Legislatures
8,2026,"Consider the following statements about the provisions pertaining to the Scheduled Castes and the Scheduled Tribes in India :

1. Provisions regarding the administration of the Tribal Areas in the States of Assam, Meghalaya, Tripura and Mizoram are given in the Fifth Schedule of the Constitution of India.
2. Some tribes of India are entitled to exemption from paying Income Tax on certain incomes.
3. The Constitution of India provides for reservation of seats in Panchayats for women belonging to the Scheduled Castes and the Scheduled Tribes.

Which one of the following conclusions based on the above statements is correct ?","

(a) There are two correct statements, that include statement 2.","(b) There are two correct statements, that are statements 1 and 3.


","(c) There is only one correct statement.


",(d) All three statements are correct.,"

(a) There are two correct statements, that include statement 2.","Statement 1 is incorrect: The Sixth Schedule (Article 244(2)) applies to the administration of tribal areas in the northeastern states of Assam, Meghalaya, Tripura, and Mizoram. In contrast, the Fifth Schedule (Article 244(1)) governs the administration of Scheduled Areas and Scheduled Tribes in all other states of India outside the Sixth Schedule framework.

Statement 2 is correct: Under Section 10(26) of the Income Tax Act, 1961, members of Scheduled Tribes residing in specified northeastern regions such as Tripura, Mizoram, Manipur, Nagaland, Arunachal Pradesh, and Ladakh are exempt from income tax on income earned within these notified areas, including certain passive incomes like dividends and interest on securities.

Statement 3 is correct: Article 243D of the Constitution provides for reservation of seats in Panchayats for Scheduled Castes and Scheduled Tribes. It further mandates that at least one-third of the seats reserved for SCs and STs must be reserved for women belonging to these categories.

Hence, Statements 2 and 3 are correct, while Statement 1 is incorrect.",,,Schedules
9,2026,"With reference to the organisations under the Government of India, consider the following details:

Sl. No.        Organisation                          Function                                                                       Controlling Union Ministry
1.             Central Economic Intelligence Bureau (CEIB)      |   To coordinate between various law enforcement agencies    |    Ministry of Home Affairs
2.        Serious Fraud Investigation Office (SFIO)   |     To investigate complex corporate frauds       |  Ministry of Finance
3.        Central Bureau of Investigation (CBI)   |     To preserve values in public life and ensure the health of the national economy    |    Ministry of Personnel, Public Grievances and Pension
In how many of the above rows are the given details correctly matched ?",(a) 1,(b) 2,(c) 3,(d) None,(a) 1,"Row 1 is incorrect: The Central Economic Intelligence Bureau (CEIB) serves as the nodal agency for coordinating and collecting economic intelligence to tackle economic offences. However, it operates under the Ministry of Finance, specifically the Department of Revenue, and not under the Ministry of Home Affairs.

Row 2 is incorrect: The Serious Fraud Investigation Office (SFIO) is a specialised agency responsible for investigating serious and complex corporate frauds. It functions under the Ministry of Corporate Affairs, rather than the Ministry of Finance.

Row 3 is correct: The Central Bureau of Investigation (CBI) is India’s premier investigative agency dealing with corruption cases, economic offences, and other major crimes. It operates under the Ministry of Personnel, Public Grievances and Pensions, through the Department of Personnel and Training (DoPT), and plays a key role in maintaining integrity in public administration and investigating complex cases.

Therefore, only one row is correctly matched.",Hard,Polity,Union and State Executive
10,2025,"With reference to the Government of India, consider the following information:

Organisation | Some of its functions | It works under

1. Directorate of Enforcement | Enforcement of the Fugitive Economic Offenders Act, 2018 | Internal Security Division-1, Ministry of Home Affairs

2. Directorate of Revenue Intelligence | Enforces the Provisions of the Customs Act, 1962 | Department of Revenue, Ministry of Finance

3. Directorate General of Systems and Data Management | Carrying out big data analytics to assist tax officers for better policy and nabbing tax evaders | Department of Revenue, Ministry of Finance

In how many of the above rows is the information correctly matched?",a. Only one,b. Only two,c. All the three,d. None,a,"Row 1 is Incorrect: The Directorate of Enforcement (ED) investigates offences related to money laundering and is responsible for enforcing the Fugitive Economic Offenders Act, 2018. However, it operates under the Department of Revenue, Ministry of Finance, rather than the Ministry of Home Affairs.

Row 2 is Correct: The Directorate of Revenue Intelligence (DRI) serves as India’s apex anti-smuggling agency. It is entrusted with enforcing the Customs Act, 1962, and functions under the Department of Revenue, Ministry of Finance.

Row 3 is Incorrect: Although the Directorate General of Systems and Data Management functions under the Department of Revenue, its main responsibility is the implementation and maintenance of IT systems for the CBIC. The role of conducting big data analytics to support tax officers in policy formulation and identifying tax evasion lies with the Directorate General of Analytics and Risk Management (DGARM), which was established specifically for this purpose.",Medium,Polity,Statutory bodies
